Metric Label,Unit,Metric Ref,Components,Terms,Complexity,Definition,Metric Expression,Periods,Dims,Business Model(s),Buying Model(s),Set(s),Theme,Source System(s),Owning Team(s),Watching Team(s)
Support Ticket Escalations,n,SuppEscalations,,Support Tickets,Atomic,The count of Support Tickets in the period that were escalated to a higher level of support.,,"Week, Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Support Ticket Escalation Rate,%,SuppEscRate,SuppEscalations; NewTkts,,Composite,The percent of Support Tickets created in the period that were escalated to a higher level of support.,{SuppEscalationsₜ} / {NewTktsₜ},"Week, Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Customer Effort Score,i,CustEffScore,,,Atomic,The summary CES score across responses received during the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Churn & Attrition,Support Desk; Help Desk,Customer Support,Product; Customer Success
Support Ticket Reopen Rate,%,SuppReopenRate,,,Atomic,The percent of Support Tickets that were solved in the period that have been subsequently re-opened at least once.,,"Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Churned Customers,n,ChurnCust,,Subscriptions; Customers,Atomic,The count of Customers whose final Subscriptions have lapsed in the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM,Customer Success,Sales; Finance
Contraction Customers,n,CtrctCust,,Subscriptions,Atomic,The count of Customers who have decreased their MRR contribution without churning (as through downgrades or partial cancellations) relative to the prior period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM,Customer Success,Sales; Finance
Resurrected Customers,n,ResurrCust,,Subscriptions; Customers,Atomic,The count of Customers who had previously churned off all Subscriptions but have resumed a Subscription in the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM,Customer Success,Sales; Finance
Retained Customers,n,RetainCust,,Subscriptions,Atomic,The count of Customers who had active Subscriptions in the prior period and continue to have active Subscriptions in the current period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM,Customer Success,Sales; Finance
Gross Customer Churn Rate,%,GrossCustChurnRate,ChurnCust; TotCust,,Composite,The percent of Total Customers that fully churned in the period (Churned Customers).,{ChurnCustₜ} / {TotCustₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM,Customer Success,Sales; Finance
Gross Revenue Churn Rate,%,GrossRevChurnRate,GrossRevChurn; TotMRR,,Composite,The ratio of Gross Revenue Churn against Total MRR.,{GrossRevChurnₜ} / {TotMRRₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Net Revenue Churn Rate,%,NetRevChurnRate,NetRevChurn; TotMRR,,Composite,The ratio of Net Revenue Churn against Total MRR.,{NetRevChurnₜ} / {TotMRRₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Gross Dollar Retention,%,GrossDollRetn,1; GrossRevChurnRt,,Composite,"The share of Total MRR that is carried forward into the following period, net of Gross Revenue Churn.",1 - {GrossRevChurnRtₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Net Dollar Retention,%,NetDollRetn,1; NetRevChurnRt,,Composite,"The share of Total MRR that is carried over into the following period, net of Net Revenue Churn.",1 - {NetRevChurnRtₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Expected Customer Lifetime,n,ExpCustLife,,,Atomic,The expected number of months between when a new Customer begins their first Subscription and when they ultimately churn.,,Month,[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM,Customer Success,Sales; Finance
Total High-Value Customers,n,TotHighValCust,TotCust,,Atomic,The share of Total Customers above a critical threshold of ACV.,,Month,[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM,Sales,Finance; Customer Success
Churned Bookings,$,ChurnBks,,,Atomic,The sum of Contract Value across all Contracts that expired in the period without being renewed.,,Month; Quarter,[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Gross Revenue Churn Per Customer,$,GrossRevChurnPerCust,GrossRevChurn; ChurnCust,,Composite,The ratio of Gross Revenue Churn against Churned Customers.,{GrossRevChurnₜ} / {ChurnCustₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Net Revenue Churn Per Customer,$,NetRevChurnPerCust,NetRevChurn; ChurnCust,,Composite,The ratio of Net Revenue Churn against Churned Customers.,{NetRevChurnₜ} / {ChurnCustₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Gross Dollar Retention Per Customer,$,GrossDollRetnPerCust,GrossDollRetn; ChurnCust,,Composite,The ratio of Gross Dollar Retention against Churned Customers.,{GrossDollRetnₜ} / {ChurnCustₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Net Dollar Retention Per Customer,$,NetDollRetnPerCust,NetDollRetn; ChurnCust,,Composite,The ratio of Net Dollar Retention against Churned Customers.,{NetDollRetnₜ} / {ChurnCustₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Early Attrition,n,EarlyAttrit,,Early Attrition,Atomic,The count of Customers that Subscription Churned in the period who had relatively little tenure before churning.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM,Customer Success,Sales; Finance; Product
Late Attrition,n,LateAttrit,,Customers; Subscription Churn,Atomic,The count of Customers that Subscription Churned in the period who had significant tenure before churning.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM,Customer Success,Finance; Product
Early Share of Churn,%,EarlyShareChurn,EarlyAttrit; ChurnCust,,Composite,The share of Churned Customers in the period that represent Early Attrition.,{EarlyAttritₜ} / {ChurnCustₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM,Customer Success,Sales; Finance; Product
Late Share of Churn,%,LateShareChurn,LateAttrit; ChurnCust,,Composite,The share of Churned Customers in the period that represent Late Attrition.,{LateAttritₜ} / {ChurnCustₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM,Customer Success,Finance; Product
Cancel Requests,n,CancReqs,,Subscriptions,Atomic,The count of cancellation requests for active Subscriptions received during the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Finance; Product
Cancel Request Rate,%,CancReqRate,CancReqs; TotCust,,Composite,The ratio of Cancel Requests against Total Customers.,{CancReqsₜ} / {TotCustₜ},"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Finance; Product
Saved Cancel Requests,n,SavedCancReqs,,,Atomic,The count of Cancel Requests created in the period that are closed without a cancellation.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM; Billing & Invoicing,Customer Success,Finance; Product
Save Rate,%,SaveRate,SavedCancReqs; CancReqs,,Composite,The percent of Cancel Requests in the period that are closed without a cancellation (Saved Cancel Requests).,{SavedCancReqsₜ} / {CancReqsₜ},"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM; Billing & Invoicing,Customer Success,Finance; Product
Expected Customer Lifetime,n,ExpCustLife,,,Atomic,The count of months that Customers are expected to retain from the start of their first Subscription.,,"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM,Customer Success,Finance; Marketing
Exposed Contracts,n,ExposCtrcts,,Contracts,Atomic,The count of Contracts that expire in the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,Contract Lifecycle Management; CRM,Customer Success,Finance
Exposed Bookings,$,ExposBks,,Contract Value; Contracts,Atomic,The sum of Contract Value across Contracts that are expiring in the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Retention Initiatives,CRM; Billing & Invoicing,Customer Success,Finance
Churned Contracts,n,ChurnCtrcts,,Contracts,Atomic,The count of Contracts that expired in the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Finance
Renewed Contracts,n,RenewCtrcts,,Contracts,Atomic,The count of Contracts that were due to expire in the period that were successfully renewed.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Renewals,CRM; Billing & Invoicing,Customer Success,Finance
Contract Renewal Rate,%,CtrctRenewRate,RenewCtrcts; ExposCtrcts,,Composite,The percent of Exposed Contracts in the period that were subsequently successfully renewed (Renewed Contracts).,{RenewCtrctsₜ} / {ExposCtrctsₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Renewals,CRM; Billing & Invoicing,Customer Success,Finance
MRR Renewal Rate,%,MRRRenewRate,RenewMRR; ExposMRR,,Composite,The ratio of Renewed MRR against Exposed MRR.,{RenewMRRₜ} / {ExposMRRₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Renewals,CRM; Billing & Invoicing,Customer Success,Finance
Churned Renewals Rate,%,ChurnRenewRate,ChurnCtrcts; ExposCtrcts,,Composite,The percent of Exposed Contracts in the period that failed to renew (Churned Contracts).,{ChurnCtrctsₜ} / {ExposCtrctsₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Finance
Contraction Renewals,n,CtrctRenewals,,Contracts; MRR,Atomic,The count of Contracts renewed in the period that represent a contraction in MRR relative to the prior contract.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Finance
Flat Renewals,n,FlatRenewals,,Contracts; MRR,Atomic,The count of Contracts renewed in the period that represent no change in MRR relative to the prior contract.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Finance
Contraction Share of Renewals,%,CtrctShareRenewals,CtrctRenewals; RenewCtrcts,,Composite,The share of Renewed Contracts in the period that represent a contraction in MRR relative to the prior contract (Contraction Renewals).,{CtrctRenewalsₜ} / {RenewCtrctsₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Finance
Flat Share of Renewals,%,FlatShareRenewals,FlatRenewals; RenewCtrcts,,Composite,The share of Renewed Contracts in the period that represent no change in MRR relative to the prior contract (Flat Renewals).,{FlatRenewalsₜ} / {RenewCtrctsₜ},"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Finance
Contraction Per Contraction Renewal,$,CtrctPerCtrctRenewal,CtrctRenewals,MRR,Atomic,The average decremental MRR lost per Contraction Renewal in the period.,,"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Finance
Opened Renewal Opportunities,n,OpenRenewOpps,,,Atomic,The count of Opportunities opened in the period related to the renewal of expiring contracts.,,Week; Month; Quarter,[Customer Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Renewals,CRM,Customer Success,Sales; Finance
Renewable Bookings,n,RenewBks,,Contract Value; Contracts,Atomic,The sum of Contract Value across all Contracts that are expiring in the period.,,Week; Month; Quarter,[Customer Dims]; [Subscription Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Renewals,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Won Renewal Deals,n,WonRenewDeals,,Renewal Opportunities,Atomic,The count of Renewal Opportunities that were successfully won during the period.,,Week; Month; Quarter,[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Renewals,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Lost Renewal Deals,n,LostRenewDeals,,Renewal Opportunities,Atomic,The count of Renewal Opportunities that were lost during the period.,,Week; Month; Quarter,[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Churned Bookings,$,ChurnBks,,Renewal Opportunities; Contract Value,Atomic,The sum of Contract Value across Renewal Opportunities lost in the period.,,Week; Month; Quarter,[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Churn & Attrition,CRM; Billing & Invoicing,Customer Success,Sales; Finance
Closed Renewal Opportunities,n,ClosedRenewOpps,,Renewal Opportunities,Atomic,The count of Renewal Opportunities that have been closed in the period as either won or lost.,,Week; Month; Quarter,[Customer Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Renewals,CRM,Customer Success,Sales; Finance
Renewal Opportunity Win Rate,%,RenewOppWinRate,WonRenewDeals; ClosedRenewOpps,,Composite,The ratio of Won Renewal Deals against Closed Renewal Opportunities.,{WonRenewDealsₜ} / {ClosedRenewOppsₜ},Month; Quarter,[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Renewals,CRM,Customer Success,Sales; Finance
Renewal Opportunity Close Rate,%,RenewOppCloseRate,,Renewal Opportunities,Atomic,The percent of Renewal Opportunities opened in the period that were subsequently successfully won.,,Month; Quarter,[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Renewals,CRM,Customer Success,Sales; Finance
Renewal Opportunity Sales Cycle,days,RenewOppSalesCycle,,Renewal Opportunities; Won Renewal Deal,Atomic,"The average number of days between the opening of Renewal Opportunities and when they are successfully won, for Renewal Opportunities won in the period.",,Month; Quarter,[Customer Dims]; [Subscription Dims]; [Contract Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Loyalty,Renewals,CRM,Customer Success,Sales
Activity Churned Customers,n,ActivChurnCust,,Activity Churn; Subscription Churn; Customers,Atomic,"The count of Customers that Activity Churned in the period. Unlike Subscription Churn, Activity Churn is a predictive measure of Customers that have fallen below a critical, and product-specific, threshold of activity such that they are unlikely to ever return to the product.",,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Loyalty,Churn & Attrition,CRM; Product Usage,Customer Success,Product
Activity Churned Users,n,ActivChurnUsers,,Activity Churn; Subscription Churn; Customers,Atomic,"The count of Users that Activity Churned in the period. Unlike Subscription Churn, Activity Churn is a predictive measure of Users that have fallen below a critical, and product-specific, threshold of activity such that they are unlikely to ever return to the product.",,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims]; [[User Dims] Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Loyalty,Churn & Attrition,CRM; Product Usage,Customer Success,Product
NPS,i,NPS,,,Atomic,"The summary NPS score across responses received during the period, measured as the share of survey respondents that are ""Detractors"" subtracted from the share of respondents that are ""Promoters"".",,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Loyalty,Churn & Attrition,CRM; Forms/Survey,Customer Success,Product
